"ISOALPHA","COUNTRYNM","age","mu","sigma"
"AFG","afghanistan","A00_04B",0,0
"AFG","afghanistan","A05_09B",0,0
"AFG","afghanistan","A10_14B",0,0
"AFG","afghanistan","A15_19B",0,0
"AFG","afghanistan","A20_24B",0,0
"AFG","afghanistan","A25_29B",0,0
"AFG","afghanistan","A30_34B",0,0
"AFG","afghanistan","A35_39B",0,0
"AFG","afghanistan","A40_44B",0,0
"AFG","afghanistan","A45_49B",61.1150134240653,7.87635714178817
"AFG","afghanistan","A50_54B",95.0006698886079,1.45223355733635
"AFG","afghanistan","A55_59B",95.0006698886079,1.45223355733635
"AFG","afghanistan","A60_64B",95.0006698886079,1.45223355733635
"AFG","afghanistan","A65_69B",95.0006698886079,1.45223355733635
"AFG","afghanistan","A70_74B",95.0006698886079,1.45223355733635
"AFG","afghanistan","A75_79B",95.0006698886079,1.45223355733635
"AFG","afghanistan","A80_84B",95.0006698886079,1.45223355733635
"AFG","afghanistan","A85PLUSB",95.0006698886079,1.45223355733635
"ARE","united arab emirates","A00_04B",0,0
"ARE","united arab emirates","A05_09B",0,0
"ARE","united arab emirates","A10_14B",0,0
"ARE","united arab emirates","A15_19B",0,0
"ARE","united arab emirates","A20_24B",0,0
"ARE","united arab emirates","A25_29B",0,0
"ARE","united arab emirates","A30_34B",0,0
"ARE","united arab emirates","A35_39B",0,0
"ARE","united arab emirates","A40_44B",0,0
"ARE","united arab emirates","A45_49B",6.91145082714208,15.4312780991852
"ARE","united arab emirates","A50_54B",61.4819046478235,15.4388567320332
"ARE","united arab emirates","A55_59B",80.0395369691499,7.57158353081589
"ARE","united arab emirates","A60_64B",80.0395369691499,7.57158353081589
"ARE","united arab emirates","A65_69B",80.0395369691499,7.57158353081589
"ARE","united arab emirates","A70_74B",80.0395369691499,7.57158353081589
"ARE","united arab emirates","A75_79B",80.0395369691499,7.57158353081589
"ARE","united arab emirates","A80_84B",80.0395369691499,7.57158353081589
"ARE","united arab emirates","A85PLUSB",80.0395369691499,7.57158353081589
"AZE","azerbaijan","A00_04B",0,0
"AZE","azerbaijan","A05_09B",0,0
"AZE","azerbaijan","A10_14B",0,0
"AZE","azerbaijan","A15_19B",0,0
"AZE","azerbaijan","A20_24B",0,0
"AZE","azerbaijan","A25_29B",0,0
"AZE","azerbaijan","A30_34B",0,0
"AZE","azerbaijan","A35_39B",0,0
"AZE","azerbaijan","A40_44B",3.36136602499163,6.54395356454608
"AZE","azerbaijan","A45_49B",79.9342763295111,7.54200868498172
"AZE","azerbaijan","A50_54B",79.9342763295111,7.54200868498172
"AZE","azerbaijan","A55_59B",79.9342763295111,7.54200868498172
"AZE","azerbaijan","A60_64B",79.9342763295111,7.54200868498172
"AZE","azerbaijan","A65_69B",79.9342763295111,7.54200868498172
"AZE","azerbaijan","A70_74B",79.9342763295111,7.54200868498172
"AZE","azerbaijan","A75_79B",79.9342763295111,7.54200868498172
"AZE","azerbaijan","A80_84B",79.9342763295111,7.54200868498172
"AZE","azerbaijan","A85PLUSB",79.9342763295111,7.54200868498172
"BGD","bangladesh","A00_04B",0,0
"BGD","bangladesh","A05_09B",0,0
"BGD","bangladesh","A10_14B",0,0
"BGD","bangladesh","A15_19B",0,0
"BGD","bangladesh","A20_24B",0,0
"BGD","bangladesh","A25_29B",0,0
"BGD","bangladesh","A30_34B",0,0
"BGD","bangladesh","A35_39B",0,0
"BGD","bangladesh","A40_44B",21.1003395353472,21.6767034401944
"BGD","bangladesh","A45_49B",74.191771864444,11.0881220314378
"BGD","bangladesh","A50_54B",79.0898836154722,5.49213165175068
"BGD","bangladesh","A55_59B",79.0898836154722,5.49213165175068
"BGD","bangladesh","A60_64B",79.0898836154722,5.49213165175068
"BGD","bangladesh","A65_69B",79.0898836154722,5.49213165175068
"BGD","bangladesh","A70_74B",79.0898836154722,5.49213165175068
"BGD","bangladesh","A75_79B",79.0898836154722,5.49213165175068
"BGD","bangladesh","A80_84B",79.0898836154722,5.49213165175068
"BGD","bangladesh","A85PLUSB",79.0898836154722,5.49213165175068
"CHN","china","A00_04B",0,0
"CHN","china","A05_09B",0,0
"CHN","china","A10_14B",0,0
"CHN","china","A15_19B",0,0
