"ISOALPHA","city","lat","lng","case_low","case_high"
"KAZ","Almaty",43.2567,76.9286,15.47,1763.15
"KGZ","Bishkek",42.87,74.59,36.66,2277.57
"TJK","Dushanbe",38.5358,68.7791,49.95,2722.45
"TKM","Ashgabat",37.95,58.3833,37.46,2112.18
"UZB","Tashkent",41.2646,69.2163,39.18,2442.26
"CHN","Shanghai",31.2222,121.458,38.39,2000.75
"HKG","Hong Kong",22.2783,114.175,21.91,994.23
"TWN","Taipei",25.0478,121.532,20.73,1063.41
"JPN","Tokyo",35.6895,139.692,39.51,3015.19
"KOR","Seoul",37.566,126.978,34.97,1965.56
"AFG","Kabul",34.5281,69.1723,120.43,5949.11
"BGD","Dhaka",23.7104,90.4074,65.09,3133.1
"IND","Mumbai",19.0728,72.8826,39.94,1916.43
"IRN","Tehran",35.6944,51.4215,34.58,1667.26
"NPL","Kathmandu",27.7017,85.3206,15.87,1766.57
"PAK","Karachi",24.8608,67.0104,78.81,3795.01
"LKA","Colombo",6.93194,79.8478,28.22,1444.79
"KHM","Phnom Penh",11.5625,104.916,307.16,9586.04
"IDN","Jakarta",-6.21462,106.845,19.27,1412.11
"LAO","Vientiane",17.9749,102.6309,245.59,7457.26
"MYS","Kuala Lumpur",3.1412,101.687,60.76,2217.22
"MMR","Yangon",16.8053,96.1561,50.07,1944.83
"PHL","Manila",14.6042,120.982,170.67,7044.25
"SGP","Singapore",1.28967,103.85,47.69,1969.94
"THA","Bangkok",13.754,100.501,45.49,1400.82
"VNM","Ho Chi Minh City",10.823,106.63,18.8,1442.53
"AZE","Baku",40.3777,49.892,33.95,2270.91
"IRQ","Baghdad",33.3406,44.4009,47.68,2944.54
"ISR","Jerusalem",31.769,35.2163,35.52,2431.13
"JOR","Amman",31.9552,35.945,46.02,2611.78
"LBN","Beirut",33.8933,35.5016,38.96,2950.88
"OMN","Muscat",23.5841,58.4078,59.06,2626.25
"SAU","Riyadh",24.6877,46.7219,53.99,2816.6
"SYR","Aleppo",36.2012,37.1612,66.22,3660.36
"TUR","Istanbul",41.0138,28.9497,24.23,1706.02
"ARE","Dubai",25.0657,55.1713,186.94,7663.95
"YEM","Sanaa",15.3547,44.2067,82.65,4566.65
