"region","city","ISOALPHA","Initial_local_infection_1","Initial_local_infection_3","Initial_local_infection_5"
"CA","Almaty","KAZ",3,8,14
"CA","Bishkek","KGZ",15,46,76
"CA","Dushanbe","TJK",27,81,134
"CA","Ashgabat","TKM",19,58,96
"CA","Tashkent","UZB",8,23,38
"EA","Shanghai","CHN",1,2,4
"EA","Hong Kong","HKG",2,5,8
"EA","Taipei","TWN",1,4,6
"EA","Tokyo","JPN",2,7,12
"EA","Seoul","KOR",2,5,8
"SA","Kabul","AFG",15,44,72
"SA","Dhaka","BGD",2,7,12
"SA","Mumbai","IND",1,4,6
"SA","Tehran","IRN",2,6,10
"SA","Kathmandu","NPL",4,12,19
"SA","Karachi","PAK",3,8,13
"SA","Colombo","LKA",18,53,88
"SEA","Phnom Penh","KHM",77,229,376
"SEA","Jakarta","IDN",1,3,4
"SEA","Vientiane","LAO",116,339,554
"SEA","Kuala Lumpur","MYS",17,51,84
"SEA","Yangon","MMR",5,14,23
"SEA","Manila","PHL",42,126,207
"SEA","Singapore","SGP",6,18,30
"SEA","Bangkok","THA",4,12,20
"SEA","Ho Chi Minh City","VNM",2,6,10
"WA","Baku","AZE",12,36,60
"WA","Baghdad","IRQ",2,7,12
"WA","Jerusalem","ISR",18,52,86
"WA","Amman","JOR",13,40,66
"WA","Beirut","LBN",8,24,40
"WA","Muscat","OMN",27,81,133
"WA","Riyadh","SAU",5,14,24
"WA","Aleppo","SYR",15,45,75
"WA","Istanbul","TUR",1,2,3
"WA","Dubai","ARE",62,183,299
"WA","Sanaa","YEM",15,45,75
