"region","city","ISOALPHA","Initial_local_infection_1","Initial_local_infection_3","Initial_local_infection_5"
"CA","Almaty","KAZ",0.1,0.4,0.7
"CA","Bishkek","KGZ",0.3,1,1.7
"CA","Dushanbe","TJK",0.4,1.3,2.2
"CA","Ashgabat","TKM",0.3,1,1.7
"CA","Tashkent","UZB",0.4,1.1,1.8
"EA","Shanghai","CHN",0.4,1.3,2.1
"EA","Hong Kong","HKG",0.3,0.8,1.3
"EA","Taipei","TWN",0.2,0.7,1.2
"EA","Tokyo","JPN",0.5,1.4,2.3
"EA","Seoul","KOR",0.4,1.2,2
"SA","Kabul","AFG",1,3.1,5.2
"SA","Dhaka","BGD",0.6,1.8,3
"SA","Mumbai","IND",0.4,1.2,2
"SA","Tehran","IRN",0.3,1,1.7
"SA","Kathmandu","NPL",0.1,0.4,0.7
"SA","Karachi","PAK",0.7,2.1,3.5
"SA","Colombo","LKA",0.3,0.8,1.4
"SEA","Phnom Penh","KHM",2.8,8.2,13.5
"SEA","Jakarta","IDN",0.2,0.6,0.9
"SEA","Vientiane","LAO",2.2,6.5,10.7
"SEA","Kuala Lumpur","MYS",0.6,1.8,3
"SEA","Yangon","MMR",0.5,1.5,2.5
"SEA","Manila","PHL",1.6,4.6,7.7
"SEA","Singapore","SGP",0.5,1.5,2.5
"SEA","Bangkok","THA",0.5,1.5,2.5
"SEA","Ho Chi Minh City","VNM",0.2,0.5,0.9
"WA","Baku","AZE",0.3,1,1.6
"WA","Baghdad","IRQ",0.4,1.3,2.1
"WA","Jerusalem","ISR",0.3,1,1.7
"WA","Amman","JOR",0.4,1.2,2.1
"WA","Beirut","LBN",0.4,1.1,1.9
"WA","Muscat","OMN",0.5,1.6,2.6
"WA","Riyadh","SAU",0.5,1.5,2.4
"WA","Aleppo","SYR",0.6,1.7,2.9
"WA","Istanbul","TUR",0.2,0.7,1.2
"WA","Dubai","ARE",1.6,4.8,7.9
"WA","Sanaa","YEM",0.7,2.1,3.5
