"region","city","ISOALPHA","I1","I2","I3","I4","QI1","QI2","QI3","QI4"
"CA","Almaty","KAZ",38.7,60.5,72.9,80.1,59,80,87.4,90.4
"CA","Bishkek","KGZ",42.9,66.6,79.6,86.8,64.7,86.5,93.2,95.5
"CA","Dushanbe","TJK",43.7,67.7,80.8,88,65.6,87.6,94.2,96.4
"CA","Ashgabat","TKM",42.8,66.5,79.5,86.8,64.6,86.4,93.3,95.6
"CA","Tashkent","UZB",43.3,67.1,80.1,87.2,65.1,86.9,93.6,95.8
"EA","Shanghai","CHN",44.3,68.4,81.5,88.6,66.4,88.2,94.7,96.7
"EA","Hong Kong","HKG",42.2,65.8,78.9,86.3,64.1,86,92.9,95.2
"EA","Taipei","TWN",41.9,65.3,78.3,85.7,63.7,85.4,92.3,94.7
"EA","Tokyo","JPN",45.5,69.9,82.8,89.7,67.5,89.2,95.4,97.2
"EA","Seoul","KOR",44.2,68.2,81.3,88.4,66.2,88,94.5,96.6
"SA","Kabul","AFG",46.4,71.1,84.1,90.9,68.5,90.4,96.4,98.2
"SA","Dhaka","BGD",44.8,69,82.1,89.2,66.9,88.8,95.2,97.2
"SA","Mumbai","IND",43.3,67.1,80.2,87.5,65.3,87.2,93.9,96.1
"SA","Tehran","IRN",42.7,66.3,79.4,86.7,64.5,86.4,93.3,95.6
"SA","Kathmandu","NPL",38.1,59.7,72.1,79.3,58.3,79.3,86.8,90
"SA","Karachi","PAK",45.2,69.5,82.6,89.6,67.3,89.2,95.6,97.5
"SA","Colombo","LKA",42.1,65.6,78.7,86,63.9,85.7,92.6,95
"SEA","Phnom Penh","KHM",48,73.2,86.2,92.8,70.2,92,97.7,99.1
"SEA","Jakarta","IDN",40.1,62.6,75.4,82.7,61.1,82.6,89.8,92.5
"SEA","Vientiane","LAO",47.4,72.5,85.6,92.4,69.6,91.6,97.5,99
"SEA","Kuala Lumpur","MYS",44.4,68.7,81.9,89.1,66.6,88.7,95.2,97.2
"SEA","Yangon","MMR",43.9,67.9,81.1,88.3,66,88,94.7,96.8
"SEA","Manila","PHL",47.3,72.3,85.3,92,69.5,91.3,97.2,98.7
"SEA","Singapore","SGP",44.3,68.6,81.7,88.9,66.5,88.5,95,97
"SEA","Bangkok","THA",43.8,67.9,81.2,88.5,66.1,88.2,94.9,97
"SEA","Ho Chi Minh City","VNM",40.2,62.8,75.5,82.8,61.2,82.6,89.8,92.5
"WA","Baku","AZE",43.2,66.9,79.9,87,64.9,86.6,93.3,95.6
"WA","Baghdad","IRQ",43.5,67.3,80.4,87.5,65.3,87.2,93.9,96.1
"WA","Jerusalem","ISR",43.4,67.2,80.2,87.3,65.1,86.9,93.5,95.7
"WA","Amman","JOR",43.4,67.3,80.4,87.5,65.3,87.2,93.9,96.1
"WA","Beirut","LBN",43.9,67.8,80.8,87.8,65.7,87.4,94,96.1
"WA","Muscat","OMN",43.8,67.9,81.1,88.3,65.9,87.9,94.6,96.7
"WA","Riyadh","SAU",43.9,67.9,81,88.2,65.9,87.8,94.4,96.6
"WA","Aleppo","SYR",44.7,68.9,82,89,66.7,88.6,95.1,97.1
"WA","Istanbul","TUR",41.4,64.5,77.4,84.7,62.9,84.5,91.5,94
"WA","Dubai","ARE",47.2,72.2,85.2,92,69.3,91.3,97.2,98.7
"WA","Sanaa","YEM",45.1,69.4,82.5,89.5,67.1,89,95.4,97.4
